序號,事業名稱,縣市,地址,管理單位,面積(公頃),說明,狀態,用地類別
1,台北市福德坑垃圾掩埋場,臺北市,臺北市木柵路五段151號,台北市政府環保局,98,有,已封閉,谷地
2,台北市山豬窟垃圾掩埋場,臺北市,臺北市南深路37號,台北市政府環保局,30,有,"使用中 - 未飽和",谷地
3,台北縣坪林鄉鶯仔嶺垃圾場(復育),新北市,坪林鄉文山事業區,,,,復育中,
4,台北縣八里區域垃圾衛生掩埋場,新北市,八里下罟子63號,台北縣政府環保局,68,"無;附近地區臨時起火燃燒,或遭傾倒一般廢棄物","使用中 - 未飽和",谷地
5,台北縣坪林鄉垃圾掩埋場,新北市,坪林鄉文山事業區,坪林鄉公所,9,有,"使用中 - 未飽和",坡地;坡地谷地
6,台北縣瑞芳鎮中坑垃圾掩埋場,新北市,瑞芳鎮碩仁里中坑(三爪子段中坑小段80地號),,0,,復育中,坡地
7,台北縣金山垃圾掩埋場,新北市,金山鄉永興村大小崛路7號,金山鄉公所,5.8733,有,已封閉,坡地
8,台北縣雙溪鄉垃圾掩埋場,新北市,雙溪鄉魚行段坑子內小段36、36之2、36之3、37、76地號,雙溪鄉公所,4.5024,有,復育中,坡地
9,台北縣中和市垃圾掩埋場,新北市,中和市中正路637巷60弄5號之2,中和市公所,5.574,無;91.03.31地震後周邊地區地層下陷嚴重，目前已由本所養工課處理中。,已封閉,坡地
10,台北縣石門鄉簡易掩埋場,新北市,石門鄉下角段草埔尾小段地號1-3,石門鄉公所,0.2754,有,"使用中 - 未飽和",坡地
11,台北縣瑞芳垃圾掩埋場,新北市,瑞芳鎮碩仁里中坑(三爪子段中坑小段80地號)(92),瑞芳鎮公所,9.2858,有,復育中,谷地
12,台北縣三芝鄉垃圾掩埋場,新北市,三芝鄉新小基隆段陳厝坑小段52-4號,三芝鄉公所,2.1134,有,已封閉,坡地
13,台北縣萬里鄉公所垃圾掩埋場,新北市,,萬里鄉公所,41.277,有,"使用中 - 飽和",坡地
14,台北縣三峽山員潭子區域性衛生掩埋場,新北市,三峽鎮中正路三段262號,台北縣政府環保局,18,有,復育中,谷地
15,台北縣瑞芳簡易掩埋場(舊場),新北市,大粗坑,瑞芳鎮公所,2.0166,有,已封閉,坡地
16,台北縣汐止垃圾掩埋場,新北市,"汐止市白匏湖段223-2,517,518等地號",汐止市公所,2.7,有,已封閉,坡地
