"名稱","管制編號","興建面積(公頃)","操作單位","興建主辦機關","開工日期","地址","完工日期","營運型態","營運監督機構","縣府提供年保證處理量(公噸/年)","一般事業廢棄物廠商保證量(公噸/年)","設計處理量(公噸/日)","環評審查公告日期"
"台北市山豬窟垃圾掩埋場","86080","30","--","中華工程/新發營造","1993/05/15","臺北市南深路37號","1995/03/29","垃圾掩埋場","中興工程顧問公司","0","700","6170000","--"
"台北縣坪林鄉鶯仔嶺垃圾場(復育)","86088","--","--","--","--","坪林鄉文山事業區","--","垃圾掩埋場","--","--","--","178920","--"
"台北縣八里區域垃圾衛生掩埋場","86086","68","--","一二期承鴻營造,三期林記營造, , , ,","1999/07/13","八里下罟子63號","2002/06/30","垃圾掩埋場","慧能工程(股)公司","1000","1100","5969000","--"
"台北縣坪林鄉垃圾掩埋場","86087","9","--","中隆營造有限公司","1992/12/30","坪林鄉文山事業區","1994/01/18","垃圾掩埋場","定和工程顧問有限公司","20","8","178920","--"
"台北縣瑞芳鎮中坑垃圾掩埋場","86095","0","--","--","--","瑞芳鎮碩仁里中坑(三爪子段中坑小段80地號)","--","垃圾掩埋場","--","0","0","155300","--"
"台北縣金山垃圾掩埋場","86100","5.8733","--",",","--","金山鄉永興村大小崛路7號","--","垃圾掩埋場","--","0","0","160000","--"
"台北縣雙溪鄉垃圾掩埋場","86082","4.5024","--","有利營造有限公司, 100%","2002/05/16","雙溪鄉魚行段坑子內小段36、36之2、36之3、37、76地號","2002/12/13","垃圾掩埋場","旭美工程顧問有限公司","15","12","3500000","--"
"台北縣中和市垃圾掩埋場","86085","5.5740","--",",","--","中和市中正路637巷60弄5號之2","--","垃圾掩埋場","--","0","0","920000","--"
"台北縣石門鄉簡易掩埋場","86096","0.2754","--","石門鄉公所","2001/12/22","石門鄉下角段草埔尾小段地號1-3","2002/02/20","垃圾掩埋場","建設課","10","10","0","--"
"台北縣瑞芳垃圾掩埋場","86093","9.2858","--","惠基營造有限公司, , , , , , , , , , , ,","1989/06/30","瑞芳鎮碩仁里中坑(三爪子段中坑小段80地號)(92)","1991/05/29","垃圾掩埋場","新環工程顧問有限公司","60","60","155300","--"
"台北縣三芝鄉垃圾掩埋場","86084","2.1134","--","翊軒營造有限公司","1999/05/04","三芝鄉新小基隆段陳厝坑小段52-4號","2000/08/04","垃圾掩埋場","和捷顧問工程公司","20","0","8588","--"
"台北縣萬里鄉公所垃圾掩埋場","86097","41.2770","--","--","--","--","--","垃圾掩埋場","--","0","0","500000","--"
"台北縣三峽山員潭子區域性衛生掩埋場","86083","18","--","建林營造, , ,","1991/11/15","三峽鎮中正路三段262號","1993/08/20","垃圾掩埋場","中華顧問工程公司","300","1400","1260000","--"
"台北縣瑞芳簡易掩埋場(舊場)","86094","2.0166","--","無 , ,","--","大粗坑","--","垃圾掩埋場","無","50","50","150000","--"
"台北縣汐止垃圾掩埋場","86091","2.70","--","--","--","汐止市白匏湖段223-2,517,518等地號","--","垃圾掩埋場","--","180","180","0","--"
"台北縣樹林灰渣掩埋場","86090","3.64","--","柏盛營造有限公司, , , , , , ,","1994/02/01","樹林市中山路三段216號","1996/03/25","垃圾掩埋場","京華環境工程股份有限公司","450","90","217373","--"
"台北縣貢寮鄉貢寮砲台山垃圾場(復育)","86099","3.1780","--","--","--","貢寮鄉鹽寮公園旁","--","垃圾掩埋場","--","5","12","10000","--"
"台北縣新店市貓巡坑 垃圾衛生掩埋場","86089","0","--","台北縣政府,","--","新店市永興路","--","垃圾掩埋場","台北縣政府","0","0","0","--"
"泰山鄉臨時簡易掩埋場","86293","0","--","--","--","泰山鄉橫窠路臨145號","--","垃圾掩埋場","--","0","0","0","--"
"台北縣淡水鎮簡易掩埋場","86092","1.3840","--",", ,","--","淡水鎮義山里羊稠子","--","垃圾掩埋場","--","0","0","0","--"
"台北縣貢寮鄉垃圾掩埋場","86098","3.1780","--","--","--","貢寮鄉鹽寮公園旁","--","垃圾掩埋場","--","5","12","10000","--"
"台中縣太平市車籠埔垃圾掩埋場","86070","2.4476","--","資圓營造股份有限公司,","2001/08/03","太平市車籠埔","2002/11/07","垃圾掩埋場","聯成工程顧問公司","155","0","288000","--"
"台中縣后里垃圾掩埋場","86057","1","--","中新營造","1994/12/01","--","--","垃圾掩埋場","中琦顧問工程","60","60","54750","--"
"台中縣霧峰鄉垃圾掩埋場","86078","78.84","--","耀賢營造有限公司, , , , ,","1999/03/12","台中縣霧峰鄉萬豐村萬斗六段大掘坑","2000/01/28","垃圾掩埋場","吉優工程顧問有限公司","56","41","285000","--"
"台中縣后里鄉垃圾掩埋場(新)","86058","1.80","--","永聯營造公司, ,","1999/07/28","后里鄉牛稠坑段七星小段,道57-1,旱58-1,旱59-3,59-4","2002/12/12","垃圾掩埋場","中琦工程顧問有限公司","62","0","201230","--"
"台中縣神岡垃圾掩埋場","86077","4.50","--","詠翔營造有限公司, ,","1997/04/25","神岡鄉下溪洲後璧厝段1126-1(台中縣神岡鄉溪洲村堤南路300號)","1998/03/22","垃圾掩埋場","環基工程顧問公司","55","50","275143","--"
"台中縣清水鎮垃圾掩埋場","86075","2.53","--","蕙莖工程公司","1989/06/08","台中縣清水鎮楊厝寮段海風小段297-2地號","1990/02/02","垃圾掩埋場","漢宮工程顧問有限公司","73","65","700000","--"
"台中縣龍井區域垃圾掩埋場","86079","4.1507","--","港洲營造有限公司, ,","1998/05/07","台中縣龍井鄉龍昌路32號","1999/02/11","垃圾掩埋場","中琦工程顧問有限公司","130","100","271800","--"
"台中縣烏日鄉垃圾掩埋場","86076","2.50","--","台中縣烏日鄉公所,","2000/02/11","烏日鄉慶光路300","2000/05/15","垃圾掩埋場","台中縣烏日鄉公所","72","50","262500","--"
"台中縣大安鄉一期衛生掩埋場(舊場)","86061","1.29","--","洽基營造有限公司, ,","1993/05/01","大安鄉南埔段436,437,438地號","1994/06/07","垃圾掩埋場","仲埜工程顧問有限公司","22","22","0","--"
"台中縣大甲鎮二期掩埋場","86065","6.8460","--","鴻儒營造有限公司","1999/07/09","大甲鎮雙寮段379地號","2000/01/10","垃圾掩埋場","中揚工程顧問公司","75","70","268380","--"
"台中縣沙鹿鎮區域衛生垃圾掩埋場","86074","9.40","--","惠基營造公司, , , , , ,","--","台中縣沙鹿鎮竹林里中山路24-51號","--","垃圾掩埋場","惠基營造公司","60","60","940000","--"
"台中縣大里市垃圾掩埋場","86069","8.30","--","中新營造公司","1993/04/09","大里市建民段852地號(台中縣大里市健東路181號)","1994/04/21","垃圾掩埋場","仲埜工程顧問公司","0","0","1000000","--"
"台中縣大甲鎮垃圾掩埋場","86066","--","--","--","--","台中縣大甲鎮建興里雙寮段739地號","--","垃圾掩埋場","--","--","--","145200","--"
"台中縣梧棲垃圾掩埋場","86073","0","--","--","2002/10/31","台中縣梧棲鎮大觀路6號(本分處行政大樓)對面","--","垃圾掩埋場","吉優工程顧問有限公司","0","0","0","--"
"台中縣東勢鎮衛生掩埋場","86072","0.56","--","進益營造有限公司, , ,","1997/06/03","東勢鎮東新里四角林中嵙小段853之53地號","--","垃圾掩埋場","中琦工程顧問公司","9","9","50000","--"
"台中縣大甲鎮一期衛生掩埋場(復育)","86064","--","--","--","--","大甲鎮雙寮段379地號","--","垃圾掩埋場","--","--","--","145200","--"
"台中縣大安鄉三期衛生掩埋場","86062","1.85","--","元璟營造有限公司, ,","2001/11/08","大安鄉南埔段436,437,438地號","2002/03/08","垃圾掩埋場","吉優工程顧問有限公司","22","22","82500","--"
"台中市垃圾掩埋場(南屯區)","86056","12.07","--","中華工程公司, 100%","1995/05/11","台中市南屯區文山南巷500號(408台中市南屯區文山里文山南巷500號)","1997/09/11","垃圾掩埋場","旭豪工程顧問有限公司","500","100","3600000","--"
"台中縣和平鄉垃圾衛生掩埋場","86059","4.50","--","旭豪工程顧問有限公司,","1995/01/01","台中縣和平鄉南勢村東關三段156號","1996/05/01","垃圾掩埋場","旭豪工程顧問有限公司","12","6","9000","--"
"台中縣大肚鄉垃圾衛生掩埋場","86067","8.2135","--","柏盛營造,","1993/04/20","萬陵段2地號","1994/06/28","垃圾掩埋場","吉磊顧問有限公司","80","35","240000","--"
"台中縣大安鄉二期垃圾場","86063","7.16","--","元璟營造有限公司","1998/08/28","台中縣大安鄉南埔段436,437,438地號","1999/01/15","垃圾掩埋場","吉優工程顧問公司","22","20","320000","--"
"台中縣大肚鄉衛生掩埋場(復育)","86068","--","--","--","--","台中縣大肚鄉華山路388號","--","垃圾掩埋場","--","--","--","250000","--"
"台中縣新社鄉垃圾衛生掩埋場","86071","1.75","--","飛發營造","1995/04/24","新社鄉復盛村興社街26號","1997/03/12","垃圾掩埋場","上鼎技術顧問有限公司","24","10","97000","--"
"台中縣外埔垃圾場","86060","0.85","--","惠基營造有限公司, , ,","1989/04/06","外埔鄉廓子路113號","--","垃圾掩埋場","漢宮工程顧問公司","0","35","300000","--"
"台南縣下營鄉簡易掩埋場","86105","1.76","--","衛盛營造工程有限公司","2001/10/22","下營鄉麻豆寮段","2001/12/25","垃圾掩埋場","葉哲源土木結構工程技師事務所","30","30","16000","--"
"台南縣鹽水鎮一期掩埋場","86145","1.6261","--","勵成工程有限公司","1988/06/17","鹽水鎮舊營段後寮小段1539至1547等9筆土地","1989/03/20","垃圾掩埋場","詮華工程顧問有限公司","0","31","0","--"
"台南縣新營市掩埋場二期","86128","1.80","--","--","1988/06/22","新營市護鎮里後鎮104號","1989/04/22","垃圾掩埋場","上鼎技術顧問股份有限公司","75","70","80000","--"
"台南市城西一期垃圾掩埋場","86101","11","--","生大營造","1994/06/30","台南市安南區城西段1008地號","1995/08/20","垃圾掩埋場","上鼎技術顧問","850","850","7020000","--"
"台南縣左鎮鄉岡林垃圾掩埋場","86121","0","--","--","--","--","--","垃圾掩埋場","--","5","5","100000","--"
"台南縣北門鄉簡易掩埋場","86109","0.41","--","--","--","北門鄉蚵寮段752-147、752-148地號(台南縣北門鄉蚵寮段812-3地號)","--","垃圾掩埋場","--","15","12","0","--"
"台南縣歸仁鄉垃圾掩埋場(新場)","86135","4.5902","--","光億營造有限公司,","2001/01/02","歸仁鄉長榮路3段451巷35弄71號(台南縣歸仁鄉大潭村長榮路3段451巷35弄71號)","2002/02/22","垃圾掩埋場","華門工程顧問股份有限公司","93","93","210000","--"
"台南縣白河鎮垃圾掩埋場","86141","2.97","--","丁元營造公司","1993/04/02","六重溪段746、747、701、702、748、745等6筆","1994/05/10","垃圾掩埋場","上鼎顧問公司","35","35","222235","--"
"台南縣鹽水鎮二期掩埋場","86146","2.0932","--","光億營造有限公司","2000/01/30","鹽水鎮後窄里舊營段後寮小段1551-1565地號(鹽水鎮舊營段後寮小段1550-1565號共16筆)","2001/07/20","垃圾掩埋場","十山工程顧問公司","33","31","56530","--"
"台南縣新營市第四期垃圾場","86130","2.75","--","昱榮營造有限公司","1997/04/10","新營市護鎮里104號","1997/11/04","垃圾掩埋場","十山工程顧問股份有限公司","105","98","118000","--"
"台南縣學甲鎮三期垃圾場","86114","1.21","--","岡正營造有限公司","2000/06/21","學甲鎮一秀里155-44號，學甲段697-60地號","2001/04/12","垃圾掩埋場","十山顧問公司","0","35","0","--"
